Pest names,synonyms,target name
plantains,"plantago, rib-grass, rib grass, ribgrass, rib-wort, rib wort, ribwort, greater plantain, great plantain, grand plantain, large plantain, greater broad-leaved plantain, greater broad leaved plantain, greater broad-leaf plantain, great broadleaf plantain, common broad-leaved plantain, common broadleaf plantain, broad-leaved plantain, broad leaved plantain, broad-leafed plantain, broad leafed plantain, broad-leaf plantain, broad leaf plantain, broadleaf plantain, round-leaved plantain, round leaved plantain, round-leafed plantain, round-leaf plantain, round leaf plantain, roundleaf plantain, common Eurasian plantain, common dooryard plantain, dooryard plantain, door-yard plantain, way-side plantain, wayside plantain, cart-track plant, cart track plant, bird-seed plantain, nipple-seed plantain, ripple-seed plantain, ripple seed plantain, rippleseed plantain, cart-track plant, cart track plant, travellers foot, healing-blade, healing blade, wagbread, lamb's-foot, lamb's foot, wild sagot, lanceolate plantain, lance plantain, lance-leaved plantain, lance leaved plantain, lance-leafed plantain, lance-leaf plantain, lance leaf plantain, lanceleaf plantain, lanceolate English plantain, lance-leaved English plantain, lance-leaf English plantain, English buckhorn plantain, English rib-grass, English rib grass, introduced narrow-leaved plantain, introduced narrow leaved plantain, common ribwort plantain, common ribwort, long plantain, black plantain, buck plantain, buck-plantain, ripple plantain, tinker-tailor grass, dog's-ribs, dog's rib, dog-ribs, chimney-sweep, chimney sweep, chimney-sweeps, chimney sweeps, hock-cockle, hock cockle, jack-straws, jack straws, jackstraw, kempseed, kemp-seed, kemps seed, kemps, knock-heads, leechwort, leech-wort, windles, German psyllium",plantain
psyllids,,psyllidae
purslane,"common purslane, common purslain, common purselane, common pursland, common pursley, common pusley, common pussley, weed purslane, weed purslain, kitchen-garden purslane, garden purslain, notched purslane, rough-seeded purslane, rough-seed purslane, roughseed purslane, summer purslane, green purslane, green leaf purslane, duckweed purslane, duckweed pursley, western pusley, little hogweed purslane, little hogweed, little-hogweed, inland pigweed, fatweed",purslane
rabbits,"coney, hare, black-tailed hare, jackrabbit, brush rabbit, bunny, bunnies, bunny rabbit, cottontail",rabbit
raccoons,"common raccoon, racoon, northern raccoon, trash panda",raccoon
rats,"black rat, house rat, ship rat, Norway rat, brown rat, common rat, sewer rat, Hanover rat, Norwegian rat, city rat, water rat, wharf rat",rat
scales,,scale
scorpions,"bark scorpion, Arizona hairy scorpion, stripedtail scorpion",scorpion
sharpshooters,,sharpshooter
silverfish,bristletail,bristletail
skunks,"polecat, civet cat",skunk
slugs,,slug
snails,,snail
snakes,,snake
springtails,,springtail
spurges,"spotted spurge, creeping spurge, petty spurge, spotted euphorbia, common spotted spurge, common spotted sandmat, spotted mat-spurge, spotted mat spurge, spotted broomspurge, spotted creeping spurge, spotted milk spurge, spotted sandmat, spotted milk-purslane, spotted milk purslane, spotted purslane, spotted pursley, spotted pusley, spotted eyebright, spotted eye-bright, blotched spurge, black spurge, black purslane, black pursley, black pusley, serpent euphorbia, serpent spurge, serpent mat-spurge, round-leaved spurge, round leaved spurge, round-leafed spurge, round-leaf spurge, round-leaf mat-spurge, roundleaf mat spurge, round-leaved spreading spurge, round-leaf spreading spurge, matted broomspurge, matted broom-spurge, matted sandmat, matted sand-mat, mat euphorbia, petty euphorbia, pretty spurge, radium plant, radium-weed, radiumweed, radium weed, stinging milkweed",spurge
squirrels,"tree squirrel, Eastern fox squirrel, Eastern gray squirrel, Western gray squirrel, Douglas squirrel, chickaree, ground squirrel",squirrel
starthistles,"yellow centaurea, yellow star-thistle, yellow star thistle, yellow starthistle, yellow-starthistle, Barnaby's star-thistle, Barnaby's star thistle, Barnaby's starthistle, Barnaby star-thistle, Barnaby star thistle, Barnaby starthistle, Barnaby's thistle, Barnaby thistle, St Barnaby's star-thistle, St Barnaby's star thistle, St Barnaby's starthistle, St Barnaby's thistle, St Barnaby star-thistle, St Barnaby star thistle, St Barnaby starthistle, St Barnaby thistle, golden star-thistle, golden star thistle, golden starthistle, yellow-cockspur, yellow cockspur, yellow cock-spur, yellow cock spur, phalaritha",starthistle
swallows,bird,bird
termites,,termite
thistles,"tumbleweed, salsola, Russian-thistle, Russian-thistle, Russianthistle, Russian thistle tumbleweed, Russian tumbleweed, tumbling Russian thistle, Russian-cactus, Russian cactus, Ukraine-salzkraut, Ukraine salzkraut, wind witch, wind-witch, windwitch",thistle
thrips,thrip,thrip
vines,,vines
voles,"meadow mice, common vole, field vole, field mouse",mouse
wasps,"yellowjackets, yellow jackets, meat bees, hornets",wasp
weeds,,weed
woad,"dyer's woad, dyer's-woad, dyers' woad, dyers woad, dye woad, blue dye woad, blue woad, Marlahan mustard, asp-of-Jerusalem, asp of Jerusalem",woad
woodpeckers,"sapsuckers, flickers, acorn woodpecker, northern flicker, wood hen",woodpecker
woodsorrel,"oxalis, wood-sorrel, wood sorrel, woodsorrel, wood-sorrels",woodsorrel
worms,"caterpillar, larva, oakworm, earworm, hornworm, fruitworm, pinworm, looper, cutworm",worm
yellowjackets,"yellow jacket, hornet, wasp, meat bee",wasp
