Pest,Question,Expected answer reference(s),URL,Crawled,Notes,Alternative
rust on roses,My rose leaves are covered with dusty orange spots. Is it rust? What can I do about it?,Pest Notes: Roses: Diseases and Disorders,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7463.html?src=exchbt,Y,,
aphids on roses,There are tons of little green bugs on my rose bushes that I think are aphids. Are they bad for my roses? What controls them?,"Pest Notes: Aphids
Pest Notes: Roses: Insects and Mites","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7404.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7466.html?src=exchbt",Y,,
aphids on roses,How do you get rid of aphids on roses?,"Pest Notes: Aphids
Pest Notes: Roses: Insects and Mites","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7404.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7466.html?src=exchbt",Y,,
carpet beetles,Where are the little beetles on my window sill coming from?,Pest Notes: Carpet Beetles,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7436.html?src=exchbt,Y,,
carpet beetles,How did I get carpet beetles in my home?,Pest Notes: Carpet Beetles,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7436.html?src=exchbt,Y,,
mysterious bites,What is biting me in bed?,"Pest Notes: Bed Bugs
Pest Notes: Conenose Bugs
Pest Notes: Fleas","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7454.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7455.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7419.html?src=exchbt",Y,,
tomato wilt,What causes tomatoes to wilt?,Tomato pages,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/tomato.html,N,Alternative link is scraped,http://ipm.ucanr.edu/home-and-landscape/tomato/index.html?src=exchbt
powdery mildew ,Will powdery mildew kill my zucchini?,Pest Notes: Powdery Mildew on Vegetables,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7406.html?src=exchbt,Y,,
tree decline/death,"Why is my tree dying?
[needed information: type of tree, cultural care e.g. irrigation]","Pest Notes: Wood Decay in Landscape Trees
Pest Notes: Armillaria Root Rot","http://ipm.ucanr.edu/PMG/PESTNOTES/pn74109.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn74171.html?src=exchbt",Y,,
damping off of seeds,"I planted seeds but they never came up. What happened?
[needed information: type of plant, cultural information]",Pest Notes: Damping off Diseases in the Garden ,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74132.html?src=exchbt,Y,,
weeds in lawn,How do I kill weeds without killing my lawn?,Pest Notes: Weed Management in Lawns,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74113.html?src=exchbt,Y,,
common bermudagrass in flower beds,How do you keep bermudagrass from spreading in flower beds?,"Pest Notes: Bermudagrass
Pest Notes: Weed Management in Landscapes","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7453.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7441.html?src=exchbt",Y,,
common bermudagrass ,How can I tell the difference between bermudagrass and crabgrass?,"Pest Notes: Bermudagrass
Pest Notes: Weed Management in Landscapes","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7453.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7441.html?src=exchbt",Y,,
Vegetable growing,When should I plant asparagus?,Vegetable cultural page,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/asptimeplant.html,N,Alternative link is scraped,http://ipm.ucanr.edu/home-and-landscape/asparagus/index.html?src=exchbt
Vegetable growing,What is the best time of year for planting asparagus?,Vegetable cultural page,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/asptimeplant.html,N,Alternative link is scraped,http://ipm.ucanr.edu/home-and-landscape/asparagus/index.html?src=exchbt
Vegetable growing,Is it better to plant asparagus in spring or should I plant it in winter?,Vegetable cultural page,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/asptimeplant.html,N,Alternative link is scraped,http://ipm.ucanr.edu/home-and-landscape/asparagus/index.html?src=exchbt
Vegetable growing,Should vegetable gardens be planted in a sunny location or should they be planted in the shade?,Vegetable cultural page,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/sitesel.html,N,,
Vegetable growing,Can I plant vegetables in the shade?,Vegetable cultural page,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/sitesel.html,N,,
Vegetable growing,What is the best location for a vegetable garden?,Vegetable cultural page,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/sitesel.html,N,,
Vegetable growing,How do you stop blossom end rot on tomatoes?,Blossom end rot,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/ENVIRON/blossomendrot.html,Y,,
Palm diseases,"What's wrong with my palm tree?
[needed information: description of symptoms, type of palm tree]",Pest Notes: Palm Diseases in the Landscape,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74148.html?src=exchbt,Y,,
Palm diseases,"If my palm tree has little black spots on it does that mean it has a disease and will it die?
[needed information: type of palm tree]",Pest Notes: Palm Diseases in the Landscape,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74148.html?src=exchbt,Y,,
fungus gnats,How do you get rid of fungus gnats?,Pest Notes: Fungus Gnats,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7448.html?src=exchbt,Y,,
pocket gophers,How do you set a gopher trap?,"Pest Notes: Pocket Gophers
video library","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7433.html?src=exchbt
http://ipm.ucanr.edu/IPMPROJECT/videolibrary-ur.html",Y,,
whiteflies,What insecticide gets rid of whiteflies?,Pest Notes: Whiteflies,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7401.html?src=exchbt,Y,,
scales,"What do scale insects look like?
[needed information: type of plant]",Pest Notes: Scales,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7408.html?src=exchbt,Y,,
mealybugs,How do you stop mealybugs?,Pest Notes: Mealybugs,"http://ipm.ucanr.edu/PMG/PESTNOTES/pn74174.html?src=exchbt
http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/mealybugs-1.html?src=exchbt
http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/mealybugs.html?src=exchbt",Y,,
ground squirrel,Where do ground squirrels live?,Pest Notes: Ground Squirrel,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7438.html?src=exchbt,Y,,
houseplants,Why are the leaves on my houseplant turning brown?,Pest Notes: Houseplant Problems,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74172.html?src=exchbt,Y,,
head lice,"How do you kill head lice?
[needed information: type of plant, cultural care]",Pest Notes: Head Lice,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7446.html?src=exchbt,Y,,
mosquitoes,How do you keep mosquitoes away?,Pest Notes: Mosquitoes,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7451.html?src=exchbt,Y,,
deer,How do I deter deer from my garden?,Pest Notes: Deer,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74117.html?src=exchbt,Y,,
deer,Is there a way to keep deer out of my garden?,Pest Notes: Deer,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74117.html?src=exchbt,Y,,
deer,"An animal is eating all the plants in my garden and I don't know what it is. How do I find out what's eating my garden?
[needed information: signs of animal, type of damage, type of plant]",Pest Notes: Deer,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74117.html?src=exchbt,Y,,
weeds in garden,I have a garden full of weeds. How do I clear it out without using a lot of weed killer?,Pest Notes: Weed Management in landscapes,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7441.html?src=exchbt,Y,,
weeds in garden,What's the best way to get rid of weeds in a large area?,Pest Notes: Weed Management in landscapes,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7441.html?src=exchbt,Y,,
weeds in garden,"There's some kind of weed taking over my yard. What is it?
[needed information: description of plant, time of year, geographical location]",Weed Gallery,http://ipm.ucanr.edu/PMG/weeds_intro.html,N,Not included in July or Dec 2021 scrape,
